"","STATE..Intercept.","STATE.ACTIVE0"
"al",0.0431266708581298,-0.0758315392055158
"ar",0.112902636499762,0.0819271051194341
"az",-0.34660608462838,-0.164053893187203
"ca",-0.841051028972295,-0.378051796740069
"co",-0.142817366891339,0.0417624815529573
"ct",-0.234287847003872,-0.026140853255859
"de",0.151461287473081,0.0168994138638009
"ga",-0.363112828378027,-0.113275084967007
"ia",1.19276103665322,0.208510178831023
"id",0.520724095742755,-0.00257943119184554
"il",0.212283080511364,0.081135062775735
"in",0.358677027120423,0.0400196751650024
"ks",0.427444720264872,0.0476924853351486
"ky",0.393099340977814,0.122629545886971
"la",-0.317333027408176,-0.0523965097336977
"ma",0.0792538107964883,0.0247236711300798
"md",0.189444027765904,0.146226096714107
"me",-0.23929569469495,-0.00428918492126957
"mi",0.16908333136875,0.0456950711874029
"mn",0.381768358015175,-0.00278003938413552
"mo",-0.075120629400184,-0.105320615256848
"ms",-0.253087206248101,-0.0516372521362898
"mt",-0.20963756775672,-0.0561709263553246
"nc",-0.0920805152801493,0.0588859213771055
"nd",-0.149669283519512,0.077405144651884
"ne",0.527316078408563,0.0113266973707719
"nh",-0.267513465272135,-0.0298480280948146
"nj",0.293923650378807,0.0595171300579246
"nm",0.278091889256495,0.0867523257850054
"nv",0.258113925841551,0.0269915899215987
"ny",0.152491322663132,0.00620168495307263
"oh",-0.247920544677825,-0.0779418593934452
"ok",-0.0710310328012557,-0.00792534409622641
"or",-0.286356405701575,-0.191623940047076
"pa",0.561463614193795,-0.0418279160068498
"ri",-0.238730854970661,-0.0266365854108116
"sc",-0.136010659266039,0.0237629081914872
"sd",-0.0152957362253222,0.0389021720962408
"tn",-0.222091470420059,0.0432724649753706
"tx",-0.449137913123711,-0.0291320373050939
"ut",0.157117167864514,0.127184870989881
"va",-0.0469050334820319,-0.00869478101364723
"vt",-0.399696471111297,-0.0103720903183713
"wa",-0.513444482943144,-0.0572879773974163
"wi",0.342585557851458,0.193360126707232
"wv",-0.610269615398633,-0.114337585179951
"wy",-0.0346298649312129,0.0173714459597759
